,Model,Scenario,Region,Variable,Unit,Year,Value
43,MESSAGEix-GLOBIOM_1.0,NPi_v3,Asia (No Japan),Coal,EJ/yr,2080,33.57172718
44,MESSAGEix-GLOBIOM_1.0,NPi_v3,Middle East + Africa,Coal,EJ/yr,2080,9.957795902
45,MESSAGEix-GLOBIOM_1.0,NPi_v3,Latin America,Coal,EJ/yr,2080,0.0
46,MESSAGEix-GLOBIOM_1.0,NPi_v3,Central Asia,Coal,EJ/yr,2080,0.1571481108
47,MESSAGEix-GLOBIOM_1.0,NPi_v3,OECD90 + EU,Coal,EJ/yr,2080,3.291005748
48,MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Coal,EJ/yr,2090,57.13726145
49,MESSAGEix-GLOBIOM_1.0,NPi_v3,Asia (No Japan),Coal,EJ/yr,2090,33.35384477
50,MESSAGEix-GLOBIOM_1.0,NPi_v3,Middle East + Africa,Coal,EJ/yr,2090,20.47170407
51,MESSAGEix-GLOBIOM_1.0,NPi_v3,Latin America,Coal,EJ/yr,2090,0.0
52,MESSAGEix-GLOBIOM_1.0,NPi_v3,Central Asia,Coal,EJ/yr,2090,0.1583228227
53,MESSAGEix-GLOBIOM_1.0,NPi_v3,OECD90 + EU,Coal,EJ/yr,2090,3.153389793
54,MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Coal,EJ/yr,2100,61.75265978
55,MESSAGEix-GLOBIOM_1.0,NPi_v3,Asia (No Japan),Coal,EJ/yr,2100,25.44310438
56,MESSAGEix-GLOBIOM_1.0,NPi_v3,Middle East + Africa,Coal,EJ/yr,2100,33.68789125
57,MESSAGEix-GLOBIOM_1.0,NPi_v3,Latin America,Coal,EJ/yr,2100,0.0
58,MESSAGEix-GLOBIOM_1.0,NPi_v3,Central Asia,Coal,EJ/yr,2100,0.15903784199999998
59,MESSAGEix-GLOBIOM_1.0,NPi_v3,OECD90 + EU,Coal,EJ/yr,2100,2.462626305
66,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,World,Coal,EJ/yr,2020,27.42234573
67,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,Asia (No Japan),Coal,EJ/yr,2020,16.52101202
68,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,Middle East + Africa,Coal,EJ/yr,2020,1.319853123
69,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,Latin America,Coal,EJ/yr,2020,0.2121587572
70,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,Central Asia,Coal,EJ/yr,2020,0.8904832485999999
71,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,OECD90 + EU,Coal,EJ/yr,2020,8.478838583
72,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,World,Coal,EJ/yr,2030,8.889911624
73,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,Asia (No Japan),Coal,EJ/yr,2030,6.743337287999999
74,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,Middle East + Africa,Coal,EJ/yr,2030,0.5840957733
75,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,Latin America,Coal,EJ/yr,2030,0.0556400472
76,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,Central Asia,Coal,EJ/yr,2030,0.004458601813
77,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,OECD90 + EU,Coal,EJ/yr,2030,1.5023799130000002
78,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,World,Coal,EJ/yr,2040,1.741380786
79,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,Asia (No Japan),Coal,EJ/yr,2040,1.2301265670000001
80,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,Middle East + Africa,Coal,EJ/yr,2040,0.318517367
81,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,Latin America,Coal,EJ/yr,2040,0.018902786100000003
82,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,Central Asia,Coal,EJ/yr,2040,0.0172408906
83,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,OECD90 + EU,Coal,EJ/yr,2040,0.15659317550000001
84,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,World,Coal,EJ/yr,2050,1.619065753
85,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,Asia (No Japan),Coal,EJ/yr,2050,1.193592083
86,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,Middle East + Africa,Coal,EJ/yr,2050,0.036254633210000005
87,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,Latin America,Coal,EJ/yr,2050,0.024055540750000003
88,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,Central Asia,Coal,EJ/yr,2050,0.05948535742
89,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,OECD90 + EU,Coal,EJ/yr,2050,0.30567813920000003
90,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,World,Coal,EJ/yr,2060,2.127447234
91,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,Asia (No Japan),Coal,EJ/yr,2060,1.3826541280000002
92,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,Middle East + Africa,Coal,EJ/yr,2060,0.06099178215
93,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,Latin America,Coal,EJ/yr,2060,0.02024798898
94,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,Central Asia,Coal,EJ/yr,2060,0.1360395281
95,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,OECD90 + EU,Coal,EJ/yr,2060,0.5275138067
96,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,World,Coal,EJ/yr,2070,2.228406564
97,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,Asia (No Japan),Coal,EJ/yr,2070,1.223655527
98,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,Middle East + Africa,Coal,EJ/yr,2070,0.1175085085
99,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,Latin America,Coal,EJ/yr,2070,0.0
100,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,Central Asia,Coal,EJ/yr,2070,0.18406786260000002
101,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,OECD90 + EU,Coal,EJ/yr,2070,0.7031746667000001
102,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,World,Coal,EJ/yr,2080,2.210591387
103,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,Asia (No Japan),Coal,EJ/yr,2080,1.324842804
104,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,Middle East + Africa,Coal,EJ/yr,2080,0.1604455461
105,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,Latin America,Coal,EJ/yr,2080,0.0
106,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,Central Asia,Coal,EJ/yr,2080,0.13604003650000002
107,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,OECD90 + EU,Coal,EJ/yr,2080,0.5892630009000001
108,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,World,Coal,EJ/yr,2090,1.3752543169999998
109,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,Asia (No Japan),Coal,EJ/yr,2090,0.9483860868
110,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,Middle East + Africa,Coal,EJ/yr,2090,0.1301657072
111,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,Latin America,Coal,EJ/yr,2090,0.0
112,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,Central Asia,Coal,EJ/yr,2090,0.055124547089999996
113,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,OECD90 + EU,Coal,EJ/yr,2090,0.2415779763
114,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,World,Coal,EJ/yr,2100,0.5917322242
115,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,Asia (No Japan),Coal,EJ/yr,2100,0.4881876678
116,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,Middle East + Africa,Coal,EJ/yr,2100,0.049137180710000006
117,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,Latin America,Coal,EJ/yr,2100,0.0
118,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,Central Asia,Coal,EJ/yr,2100,0.0001229845582
119,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,OECD90 + EU,Coal,EJ/yr,2100,0.0542843911
126,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,World,Coal,EJ/yr,2020,27.42234573
127,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,Asia (No Japan),Coal,EJ/yr,2020,16.52101202
128,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,Middle East + Africa,Coal,EJ/yr,2020,1.319853123
129,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,Latin America,Coal,EJ/yr,2020,0.2121587572
130,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,Central Asia,Coal,EJ/yr,2020,0.8904832485999999
131,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,OECD90 + EU,Coal,EJ/yr,2020,8.478838583
132,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,World,Coal,EJ/yr,2030,4.5546607660000005
133,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,Asia (No Japan),Coal,EJ/yr,2030,3.441376758
134,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,Middle East + Africa,Coal,EJ/yr,2030,0.584573916
135,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,Latin America,Coal,EJ/yr,2030,0.055866366050000005
136,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,Central Asia,Coal,EJ/yr,2030,0.007615103538
137,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,OECD90 + EU,Coal,EJ/yr,2030,0.46522862270000004
138,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,World,Coal,EJ/yr,2040,2.031514914
139,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,Asia (No Japan),Coal,EJ/yr,2040,1.3245903559999999
140,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,Middle East + Africa,Coal,EJ/yr,2040,0.3147925221
141,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,Latin America,Coal,EJ/yr,2040,0.02960142651
142,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,Central Asia,Coal,EJ/yr,2040,0.024055540750000003
143,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,OECD90 + EU,Coal,EJ/yr,2040,0.3384750684
144,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,World,Coal,EJ/yr,2050,0.9840112948999999
145,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,Asia (No Japan),Coal,EJ/yr,2050,0.49457748380000005
146,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,Middle East + Africa,Coal,EJ/yr,2050,0.021363642599999996
147,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,Latin America,Coal,EJ/yr,2050,0.01837918407
148,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,Central Asia,Coal,EJ/yr,2050,0.059549210389999996
149,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,OECD90 + EU,Coal,EJ/yr,2050,0.39014177409999995
150,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,World,Coal,EJ/yr,2060,0.83276505
151,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,Asia (No Japan),Coal,EJ/yr,2060,0.4289825524
152,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,Middle East + Africa,Coal,EJ/yr,2060,0.03122618608
153,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,Latin America,Coal,EJ/yr,2060,0.0
154,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,Central Asia,Coal,EJ/yr,2060,0.1099869356
155,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,OECD90 + EU,Coal,EJ/yr,2060,0.2625693759
156,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,World,Coal,EJ/yr,2070,0.20086053760000003
157,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,Asia (No Japan),Coal,EJ/yr,2070,0.10464462199999999
158,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,Middle East + Africa,Coal,EJ/yr,2070,0.03787557329
159,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,Latin America,Coal,EJ/yr,2070,0.0
160,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,Central Asia,Coal,EJ/yr,2070,0.015037662080000002
161,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,OECD90 + EU,Coal,EJ/yr,2070,0.04330268025
162,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,World,Coal,EJ/yr,2080,0.05787442302
163,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,Asia (No Japan),Coal,EJ/yr,2080,0.0326739828
164,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,Middle East + Africa,Coal,EJ/yr,2080,0.01666946734
165,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,Latin America,Coal,EJ/yr,2080,0.0
166,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,Central Asia,Coal,EJ/yr,2080,0.0003430669049
167,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,OECD90 + EU,Coal,EJ/yr,2080,0.008187905983
168,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,World,Coal,EJ/yr,2090,0.0009120117757999999
169,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,Asia (No Japan),Coal,EJ/yr,2090,0.0
170,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,Middle East + Africa,Coal,EJ/yr,2090,0.0
171,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,Latin America,Coal,EJ/yr,2090,0.0
172,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,Central Asia,Coal,EJ/yr,2090,0.00020540677819999998
173,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,OECD90 + EU,Coal,EJ/yr,2090,0.0007066049976000001
174,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,World,Coal,EJ/yr,2100,0.0007350772858
175,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,Asia (No Japan),Coal,EJ/yr,2100,0.0
176,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,Middle East + Africa,Coal,EJ/yr,2100,0.0
177,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,Latin America,Coal,EJ/yr,2100,0.0
178,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,Central Asia,Coal,EJ/yr,2100,0.0001229845582
179,MESSAGEix-GLOBIOM_1.0,NPi2020_400_v3,OECD90 + EU,Coal,EJ/yr,2100,0.0006120927276
186,MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Gas,EJ/yr,2020,32.12260647
187,MESSAGEix-GLOBIOM_1.0,NPi_v3,Asia (No Japan),Gas,EJ/yr,2020,7.380619431
188,MESSAGEix-GLOBIOM_1.0,NPi_v3,Middle East + Africa,Gas,EJ/yr,2020,4.980538064
189,MESSAGEix-GLOBIOM_1.0,NPi_v3,Latin America,Gas,EJ/yr,2020,2.558863877
190,MESSAGEix-GLOBIOM_1.0,NPi_v3,Central Asia,Gas,EJ/yr,2020,3.4313314310000003
191,MESSAGEix-GLOBIOM_1.0,NPi_v3,OECD90 + EU,Gas,EJ/yr,2020,13.77125367
192,MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Gas,EJ/yr,2030,44.38095406
193,MESSAGEix-GLOBIOM_1.0,NPi_v3,Asia (No Japan),Gas,EJ/yr,2030,10.53864315
194,MESSAGEix-GLOBIOM_1.0,NPi_v3,Middle East + Africa,Gas,EJ/yr,2030,8.705347983
195,MESSAGEix-GLOBIOM_1.0,NPi_v3,Latin America,Gas,EJ/yr,2030,3.77385206
196,MESSAGEix-GLOBIOM_1.0,NPi_v3,Central Asia,Gas,EJ/yr,2030,3.623318339
197,MESSAGEix-GLOBIOM_1.0,NPi_v3,OECD90 + EU,Gas,EJ/yr,2030,17.73979253
198,MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Gas,EJ/yr,2040,63.75898673
199,MESSAGEix-GLOBIOM_1.0,NPi_v3,Asia (No Japan),Gas,EJ/yr,2040,16.64287525
200,MESSAGEix-GLOBIOM_1.0,NPi_v3,Middle East + Africa,Gas,EJ/yr,2040,13.254621799999999
201,MESSAGEix-GLOBIOM_1.0,NPi_v3,Latin America,Gas,EJ/yr,2040,4.791369115
202,MESSAGEix-GLOBIOM_1.0,NPi_v3,Central Asia,Gas,EJ/yr,2040,4.94729473
203,MESSAGEix-GLOBIOM_1.0,NPi_v3,OECD90 + EU,Gas,EJ/yr,2040,24.12282584
204,MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Gas,EJ/yr,2050,83.9498043
205,MESSAGEix-GLOBIOM_1.0,NPi_v3,Asia (No Japan),Gas,EJ/yr,2050,21.80355408
206,MESSAGEix-GLOBIOM_1.0,NPi_v3,Middle East + Africa,Gas,EJ/yr,2050,18.2770781
207,MESSAGEix-GLOBIOM_1.0,NPi_v3,Latin America,Gas,EJ/yr,2050,6.182753622000001
208,MESSAGEix-GLOBIOM_1.0,NPi_v3,Central Asia,Gas,EJ/yr,2050,5.590670489
209,MESSAGEix-GLOBIOM_1.0,NPi_v3,OECD90 + EU,Gas,EJ/yr,2050,32.09574801
210,MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Gas,EJ/yr,2060,103.6934228
211,MESSAGEix-GLOBIOM_1.0,NPi_v3,Asia (No Japan),Gas,EJ/yr,2060,27.58452293
212,MESSAGEix-GLOBIOM_1.0,NPi_v3,Middle East + Africa,Gas,EJ/yr,2060,23.92443706
213,MESSAGEix-GLOBIOM_1.0,NPi_v3,Latin America,Gas,EJ/yr,2060,10.11494413
214,MESSAGEix-GLOBIOM_1.0,NPi_v3,Central Asia,Gas,EJ/yr,2060,5.68541978
215,MESSAGEix-GLOBIOM_1.0,NPi_v3,OECD90 + EU,Gas,EJ/yr,2060,36.38409891
216,MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Gas,EJ/yr,2070,113.481155
217,MESSAGEix-GLOBIOM_1.0,NPi_v3,Asia (No Japan),Gas,EJ/yr,2070,25.94219899
218,MESSAGEix-GLOBIOM_1.0,NPi_v3,Middle East + Africa,Gas,EJ/yr,2070,28.17688912
219,MESSAGEix-GLOBIOM_1.0,NPi_v3,Latin America,Gas,EJ/yr,2070,10.14842563
220,MESSAGEix-GLOBIOM_1.0,NPi_v3,Central Asia,Gas,EJ/yr,2070,7.384828347000001
221,MESSAGEix-GLOBIOM_1.0,NPi_v3,OECD90 + EU,Gas,EJ/yr,2070,41.828812899999996
222,MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Gas,EJ/yr,2080,117.5039878
223,MESSAGEix-GLOBIOM_1.0,NPi_v3,Asia (No Japan),Gas,EJ/yr,2080,27.58670942
224,MESSAGEix-GLOBIOM_1.0,NPi_v3,Middle East + Africa,Gas,EJ/yr,2080,32.98125368
225,MESSAGEix-GLOBIOM_1.0,NPi_v3,Latin America,Gas,EJ/yr,2080,11.73789339
226,MESSAGEix-GLOBIOM_1.0,NPi_v3,Central Asia,Gas,EJ/yr,2080,7.248223402000001
227,MESSAGEix-GLOBIOM_1.0,NPi_v3,OECD90 + EU,Gas,EJ/yr,2080,37.9499079
228,MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Gas,EJ/yr,2090,121.9875843
229,MESSAGEix-GLOBIOM_1.0,NPi_v3,Asia (No Japan),Gas,EJ/yr,2090,32.72295824
230,MESSAGEix-GLOBIOM_1.0,NPi_v3,Middle East + Africa,Gas,EJ/yr,2090,30.79632431
231,MESSAGEix-GLOBIOM_1.0,NPi_v3,Latin America,Gas,EJ/yr,2090,13.85570167
232,MESSAGEix-GLOBIOM_1.0,NPi_v3,Central Asia,Gas,EJ/yr,2090,6.557724123
233,MESSAGEix-GLOBIOM_1.0,NPi_v3,OECD90 + EU,Gas,EJ/yr,2090,38.05487599
234,MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Gas,EJ/yr,2100,130.791971
235,MESSAGEix-GLOBIOM_1.0,NPi_v3,Asia (No Japan),Gas,EJ/yr,2100,41.73743226
236,MESSAGEix-GLOBIOM_1.0,NPi_v3,Middle East + Africa,Gas,EJ/yr,2100,29.10452474
237,MESSAGEix-GLOBIOM_1.0,NPi_v3,Latin America,Gas,EJ/yr,2100,16.00622954
238,MESSAGEix-GLOBIOM_1.0,NPi_v3,Central Asia,Gas,EJ/yr,2100,5.514420821
239,MESSAGEix-GLOBIOM_1.0,NPi_v3,OECD90 + EU,Gas,EJ/yr,2100,38.42936368
246,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,World,Gas,EJ/yr,2020,32.12260647
247,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,Asia (No Japan),Gas,EJ/yr,2020,7.380619431
248,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,Middle East + Africa,Gas,EJ/yr,2020,4.980538064
249,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,Latin America,Gas,EJ/yr,2020,2.558863877
250,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,Central Asia,Gas,EJ/yr,2020,3.4313314310000003
251,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,OECD90 + EU,Gas,EJ/yr,2020,13.77125367
252,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,World,Gas,EJ/yr,2030,48.38773446
253,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,Asia (No Japan),Gas,EJ/yr,2030,13.16608487
254,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,Middle East + Africa,Gas,EJ/yr,2030,8.195224312999999
255,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,Latin America,Gas,EJ/yr,2030,3.808228127
256,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,Central Asia,Gas,EJ/yr,2030,4.086543896
257,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,OECD90 + EU,Gas,EJ/yr,2030,19.13165325
258,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,World,Gas,EJ/yr,2040,62.90208364
259,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,Asia (No Japan),Gas,EJ/yr,2040,18.50810807
260,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,Middle East + Africa,Gas,EJ/yr,2040,12.80593643
261,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,Latin America,Gas,EJ/yr,2040,3.9101124210000004
262,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,Central Asia,Gas,EJ/yr,2040,5.2178830089999995
263,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,OECD90 + EU,Gas,EJ/yr,2040,22.46004371
264,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,World,Gas,EJ/yr,2050,60.71598601
265,MESSAGEix-GLOBIOM_1.0,NPi2020_1000_v3,Asia (No Japan),Gas,EJ/yr,2050,13.42166871
